,320.753,387.573,300,78.1,0,1,0,1,Platform.png
icon,719.173,22.9956,50,50,0,1,0,1,icon.png
Wall,433.271,293.841,68.2,92.5,0,1,0,1,Wall.png
Collectable,718,82,50,50,1,0,1,1,Collectable.png
,788.89,386.013,100.9,100.7,0,1,0,1,Platform.png
,2640.97,451.823,40,40,0,1,0,1,Platform.png
,1156.91,261.399,40.2,50,0,1,0,1,Wall.png
,996.752,336.811,50,50,0,1,0,1,Platform.png
,1157.11,310.427,40,40,0,1,0,1,Platform.png
,1305.02,202.291,40,40,0,1,0,1,Platform.png
,1429.94,121.48,40,40,0,1,0,1,Platform.png
,1548.36,47.7553,40,40,0,1,0,1,Platform.png
,1670.63,-20.192,40,40,0,1,0,1,Platform.png
,1821.19,56.6466,40,40,0,1,0,1,Platform.png
,1930.82,135.942,40,40,0,1,0,1,Platform.png
,2057.96,241.328,40,40,0,1,0,1,Platform.png
,2209.83,368.542,40,40,0,1,0,1,Platform.png
,2348.3,449.371,40,40,0,1,0,1,Platform.png
,2504.2,497.401,40,40,0,1,0,1,Platform.png
